Wed Sep 18 14:34:32 2013    larvalMultitrack.profile

         285685 function calls in 25.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   15.783   15.783   25.411   25.411 {wx._core_.PyApp_MainLoop}
      902    2.534    0.003    2.534    0.003 {method 'read' of 'cv2.VideoCapture' objects}
      900    1.274    0.001    1.567    0.002 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:55(draw_tObjs)
        1    1.201    1.201    1.201    1.201 {wx._windows_.Dialog_ShowModal}
      901    0.673    0.001    0.673    0.001 {cv2.cvtColor}
      900    0.553    0.001    0.553    0.001 {cv2.medianBlur}
      900    0.506    0.001    0.820    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:114(TrackObjects)
      900    0.463    0.001    0.463    0.001 {cv2.findContours}
      900    0.281    0.000    0.281    0.000 {cv2.imshow}
    39448    0.269    0.000    0.269    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      900    0.181    0.000    0.181    0.000 {cv2.erode}
      900    0.171    0.000    0.171    0.000 {cv2.dilate}
        1    0.159    0.159    0.159    0.159 {cv2.VideoCapture}
      901    0.142    0.000    8.187    0.009 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:143(onNextFrame)
      900    0.139    0.000    0.139    0.000 {cv2.subtract}
     5154    0.126    0.000    0.126    0.000 {cv2.drawContours}
      900    0.123    0.000    0.856    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:98(DetectObjects)
    12445    0.114    0.000    0.114    0.000 {numpy.core.multiarray.array}
    10712    0.079    0.000    0.079    0.000 {cv2.putText}
      900    0.072    0.000    0.075    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:90(updateTrackData)
     5261    0.071    0.000    0.183    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:42(_mean)
      900    0.058    0.000    0.058    0.000 {cv2.threshold}
    33308    0.051    0.000    0.274    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:1422(sum)
      180    0.044    0.000    0.044    0.000 {cv2.addWeighted}
        1    0.039    0.039    0.039    0.039 {gc.collect}
    33308    0.034    0.000    0.203    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:16(_sum)
    43852    0.027    0.000    0.027    0.000 {isinstance}
      900    0.020    0.000    1.135    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:18(CalculateBGDiff)
     1802    0.020    0.000    0.020    0.000 {numpy.core.multiarray.empty}
     5356    0.020    0.000    0.020    0.000 {cv2.circle}
        1    0.019    0.019    0.019    0.019 {wx._core_.Window_Show}
        1    0.017    0.017    0.017    0.017 {cv2.namedWindow}
      902    0.015    0.000    3.222    0.004 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\videoControl_functions.py:28(GetGSFrame)
     5261    0.015    0.000    0.015    0.000 {cv2.boundingRect}
     1800    0.014    0.000    0.014    0.000 {cv2.getStructuringElement}
       27    0.013    0.000    0.013    0.000 {wx._core_.Window_SetLabel}
     5261    0.013    0.000    0.019    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:32(_count_reduce_items)
     6155    0.012    0.000    0.012    0.000 {cv2.contourArea}
     5261    0.011    0.000    0.194    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:2405(mean)
      180    0.011    0.000    0.055    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:38(BGUpdateFnc)
        2    0.010    0.005    0.011    0.005 {wx._controls_.new_ComboBox}
      879    0.009    0.000    0.032    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:1847(amax)
     5261    0.007    0.000    0.014    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\numeric.py:322(asanyarray)
      900    0.007    0.000    1.758    0.002 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:83(updateTracking)
     1800    0.006    0.000    0.006    0.000 {wx._controls_.CheckBox_GetValue}
        4    0.005    0.001    0.005    0.001 {wx._gdi_.StockGDI_GetFont}
        1    0.005    0.005    0.005    0.005 {wx._core_.Sizer_Fit}
        5    0.005    0.001    0.005    0.001 {wx._controls_.new_Slider}
     1802    0.004    0.000    0.004    0.000 {time.time}
        1    0.003    0.003    0.003    0.003 {cv2.cv.DestroyAllWindows}
     1800    0.003    0.000    0.009    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:360(GetValue)
    10480    0.003    0.000    0.003    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:116(<lambda>)
      901    0.002    0.000    0.002    0.000 {method 'set' of 'cv2.VideoCapture' objects}
     6256    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
        7    0.002    0.000    0.002    0.000 {wx._controls_.new_CheckBox}
      900    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      879    0.002    0.000    0.023    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:8(_amax)
     7241    0.002    0.000    0.002    0.000 {method 'itervalues' of 'dict' objects}
        6    0.002    0.000    0.002    0.000 {wx._controls_.new_StaticText}
     3612    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        4    0.002    0.000    0.002    0.000 {wx._controls_.new_Button}
        1    0.002    0.002    0.002    0.002 {wx._controls_.new_TextCtrl}
      900    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
     5240    0.001    0.000    0.001    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:117(<lambda>)
      900    0.001    0.000    0.001    0.000 {range}
     1803    0.001    0.000    0.001    0.000 {len}
        2    0.001    0.000    0.001    0.000 {wx._misc_.Timer_Start}
      902    0.001    0.000    0.001    0.000 {method 'get' of 'cv2.VideoCapture' objects}
        1    0.001    0.001    0.001    0.001 {wx._windows_.new_Frame}
        1    0.001    0.001    0.001    0.001 {wx._windows_.Frame_SetMenuBar}
       22    0.001    0.000    0.001    0.000 {numpy.core.multiarray.zeros}
      180    0.000    0.000    0.000    0.000 {method 'normal' of 'mtrand.RandomState' objects}
     1800    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
       27    0.000    0.000    0.014    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:237(update_processRate)
       21    0.000    0.000    0.001    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:164(__init__)
        1    0.000    0.000    1.405    1.405 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:260(OnOpen)
      932    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4372(<lambda>)
        1    0.000    0.000    0.006    0.006 {wx._core_.PyApp__BootstrapApp}
        2    0.000    0.000    0.000    0.000 {wx._controls_.TextCtrl_WriteText}
       72    0.000    0.000    0.000    0.000 {_codecs.charmap_decode}
        1    0.000    0.000    0.049    0.049 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:12(__init__)
       37    0.000    0.000    0.000    0.000 {wx._core_.Sizer_Add}
       33    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3884(_setOORInfo)
        1    0.000    0.000    0.000    0.000 {wx._windows_.new_Panel}
       21    0.000    0.000    0.000    0.000 {method 'rand' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.006    0.006 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7900(__init__)
        3    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetCursor}
       33    0.000    0.000    0.000    0.000 {wx._core_.EvtHandler__setOORInfo}
       27    0.000    0.000    0.013    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8497(SetLabel)
        1    0.000    0.000    0.005    0.005 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6369(_initStockObjects)
       21    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       72    0.000    0.000    0.000    0.000 C:\Python27\lib\encodings\cp1252.py:14(decode)
        1    0.000    0.000    0.000    0.000 {wx._windows_.new_FileDialog}
       10    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetPen}
       44    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {wx._core_.Menu_Append}
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Refresh}
