Tue Aug 27 17:26:03 2013    2to1larvalMultitrack.profile

         6242457 function calls (6242409 primitive calls) in 576.965 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    37506    0.068    0.000    0.068    0.000 {time.time}
      655    0.002    0.000    0.002    0.000 {cv2.cv.RGB}
        3    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetCursor}
       27    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\miobase.py:224(matdims)
        3    0.023    0.008    0.023    0.008 {open}
        4    0.000    0.000    0.003    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:325(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6582(<lambda>)
   121856    2.340    0.000    5.763    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:42(_mean)
        7    0.000    0.000    0.004    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:337(__init__)
   121856    0.346    0.000    6.109    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:2405(mean)
        4    0.003    0.001    0.003    0.001 {wx._controls_.new_Button}
        1    0.000    0.000  576.892  576.892 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7299(MainLoop)
       24    0.000    0.000    0.000    0.000 {wx._core_.EvtHandler_Connect}
     3750    0.411    0.000    1.860    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:38(BGUpdateFnc)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4015(__call__)
   144359    0.048    0.000    0.048    0.000 {method 'itervalues' of 'dict' objects}
        2    0.000    0.000    0.016    0.008 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:581(__init__)
      932    0.016    0.000    0.665    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:235(update_processRate)
        1    0.000    0.000    0.072    0.072 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:12(__init__)
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:479(__init__)
        2    0.000    0.000    0.000    0.000 {wx._controls_.CheckBox_SetValue}
        5    1.088    0.218    1.088    0.218 {cv2.VideoCapture}
        6    0.000    0.000    0.000    0.000 {wx._controls_.StaticText_swiginit}
        3    0.000    0.000    0.000    0.000 {time.asctime}
        7    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6350(GetColour)
       54    0.000    0.000    1.185    0.022 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:512(write_regular_element)
        2    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:437(SetImg_Globals)
      222    0.010    0.000    1.185    0.005 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:488(write_bytes)
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheBrushList}
  1030485   10.970    0.000   10.970    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       19    0.000    0.000    0.000    0.000 {wx._misc_.Timer_Stop}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8453(Close)
       33    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:504(write_smalldata_element)
        6    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:2083(<lambda>)
       16    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:2674(GetValue)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8561(GetId)
       16    0.000    0.000    0.001    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:409(AdjustProperty)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9763(Refresh)
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp__setCallbackInfo}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7182(_setCallbackInfo)
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6493(<lambda>)
      6/3    0.000    0.000    0.006    0.002 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:726(_write_items)
        6    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\shape_base.py:58(atleast_2d)
