Tue Aug 27 17:31:03 2013    larvalMultitrack.profile

         1487386 function calls (1487370 primitive calls) in 108.905 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12502    0.023    0.000    0.023    0.000 {time.time}
      395    0.001    0.000    0.001    0.000 {cv2.cv.RGB}
        3    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetCursor}
        9    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\miobase.py:224(matdims)
        1    0.004    0.004    0.004    0.004 {open}
        4    0.000    0.000    0.003    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:325(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6582(<lambda>)
    29990    0.565    0.000    1.393    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:42(_mean)
        7    0.000    0.000    0.004    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:337(__init__)
    29990    0.085    0.000    1.478    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:2405(mean)
        4    0.003    0.001    0.003    0.001 {wx._controls_.new_Button}
        1    0.000    0.000  108.845  108.845 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7299(MainLoop)
       24    0.000    0.000    0.000    0.000 {wx._core_.EvtHandler_Connect}
     1250    0.097    0.000    0.544    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:38(BGUpdateFnc)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4015(__call__)
    37640    0.012    0.000    0.012    0.000 {method 'itervalues' of 'dict' objects}
        2    0.000    0.000    0.010    0.005 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:581(__init__)
      192    0.004    0.000    0.144    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:235(update_processRate)
        1    0.000    0.000    0.059    0.059 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:12(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:479(__init__)
        2    0.000    0.000    0.000    0.000 {wx._controls_.CheckBox_SetValue}
      149    0.201    0.001    0.248    0.002 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:55(draw_tObjs)
        2    0.387    0.194    0.387    0.194 {cv2.VideoCapture}
        6    0.000    0.000    0.000    0.000 {wx._controls_.StaticText_swiginit}
        1    0.000    0.000    0.000    0.000 {time.asctime}
        7    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6350(GetColour)
       18    0.000    0.000    1.320    0.073 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:512(write_regular_element)
        2    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:437(SetImg_Globals)
       74    0.006    0.000    1.320    0.018 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:488(write_bytes)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2502(GetDirectory)
   220584    2.467    0.000    2.467    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        7    0.000    0.000    0.000    0.000 {wx._misc_.Timer_Stop}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8453(Close)
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:504(write_smalldata_element)
        2    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:2083(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\ntpath.py:189(splitext)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8561(GetId)
