Wed Sep 18 14:53:38 2013    larvalMultitrack.profile

         304003 function calls in 58.945 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      925   35.290    0.038   35.290    0.038 {method 'read' of 'cv2.VideoCapture' objects}
        1   14.737   14.737   58.894   58.894 {wx._core_.PyApp_MainLoop}
        1    2.595    2.595    2.595    2.595 {wx._windows_.Dialog_ShowModal}
      922    1.345    0.001    1.659    0.002 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:55(draw_tObjs)
      923    0.709    0.001    0.709    0.001 {cv2.cvtColor}
      922    0.558    0.001    0.558    0.001 {cv2.medianBlur}
      922    0.543    0.001    0.878    0.001 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:114(TrackObjects)
      922    0.472    0.001    0.472    0.001 {cv2.findContours}
      922    0.390    0.000    0.390    0.000 {cv2.imshow}
    42507    0.282    0.000    0.282    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      922    0.187    0.000    0.187    0.000 {cv2.erode}
      922    0.178    0.000    0.178    0.000 {cv2.dilate}
        1    0.161    0.161    0.161    0.161 {cv2.VideoCapture}
      922    0.159    0.000    0.159    0.000 {cv2.subtract}
      924    0.147    0.000   41.316    0.045 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:143(onNextFrame)
     5488    0.141    0.000    0.141    0.000 {cv2.drawContours}
    13097    0.131    0.000    0.131    0.000 {numpy.core.multiarray.array}
      922    0.127    0.000    0.884    0.001 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:98(DetectObjects)
    11294    0.082    0.000    0.082    0.000 {cv2.putText}
     5568    0.072    0.000    0.186    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:42(_mean)
      922    0.068    0.000    0.070    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:90(updateTrackData)
      922    0.066    0.000    0.066    0.000 {cv2.threshold}
    36038    0.055    0.000    0.294    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:1422(sum)
      184    0.047    0.000    0.047    0.000 {cv2.addWeighted}
        1    0.041    0.041    0.041    0.041 {gc.collect}
    36038    0.037    0.000    0.217    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:16(_sum)
    47196    0.029    0.000    0.029    0.000 {isinstance}
      922    0.023    0.000    1.184    0.001 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:18(CalculateBGDiff)
     5647    0.021    0.000    0.021    0.000 {cv2.circle}
        1    0.018    0.018    0.018    0.018 {wx._core_.Window_Show}
       36    0.018    0.000    0.018    0.001 {wx._core_.Window_SetLabel}
     1846    0.017    0.000    0.017    0.000 {numpy.core.multiarray.empty}
     5568    0.016    0.000    0.016    0.000 {cv2.boundingRect}
      925    0.014    0.000   36.013    0.039 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\videoControl_functions.py:28(GetGSFrame)
     1844    0.014    0.000    0.014    0.000 {cv2.getStructuringElement}
